timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%]
2026/08/20 11:38:06.560, 2055 MHz, 8001 MHz, 14.81 W, 51, 0 %
2026/08/20 11:38:07.571, 2055 MHz, 8001 MHz, 15.33 W, 52, 8 %
2026/08/20 11:38:08.573, 2715 MHz, 8001 MHz, 31.21 W, 53, 18 %
2026/08/20 11:38:09.607, 2715 MHz, 8001 MHz, 37.38 W, 57, 99 %
2026/08/20 11:38:10.609, 2700 MHz, 8001 MHz, 48.69 W, 57, 0 %
2026/08/20 11:38:11.612, 2715 MHz, 8001 MHz, 38.53 W, 57, 100 %
2026/08/20 11:38:12.614, 2715 MHz, 8001 MHz, 38.64 W, 57, 100 %
2026/08/20 11:38:13.616, 2715 MHz, 8001 MHz, 38.55 W, 58, 100 %
2026/08/20 11:38:14.619, 2715 MHz, 8001 MHz, 38.57 W, 58, 100 %
2026/08/20 11:38:15.621, 2715 MHz, 8001 MHz, 39.51 W, 58, 100 %
2026/08/20 11:38:16.624, 2715 MHz, 8001 MHz, 38.64 W, 58, 100 %
2026/08/20 11:38:17.630, 2715 MHz, 8001 MHz, 38.69 W, 58, 100 %
2026/08/20 11:38:18.632, 2715 MHz, 8001 MHz, 38.70 W, 59, 100 %
2026/08/20 11:38:19.635, 2715 MHz, 8001 MHz, 38.87 W, 59, 100 %
2026/08/20 11:38:20.637, 2580 MHz, 8001 MHz, 137.64 W, 78, 99 %
2026/08/20 11:38:21.639, 2700 MHz, 8001 MHz, 25.31 W, 58, 0 %
2026/08/20 11:38:22.642, 2700 MHz, 8001 MHz, 44.78 W, 60, 100 %
2026/08/20 11:38:23.644, 2700 MHz, 8001 MHz, 44.62 W, 60, 100 %
2026/08/20 11:38:24.646, 2700 MHz, 8001 MHz, 44.67 W, 60, 100 %
2026/08/20 11:38:26.201, 2700 MHz, 8001 MHz, 44.75 W, 60, 100 %
2026/08/20 11:38:27.220, 2700 MHz, 8001 MHz, 44.72 W, 60, 100 %
