kernel,kernel_id,N,median_ms,min_ms,p95_ms,gflops,max_rel_err,warmup,iters
cublas,-1,128,0.009216,0.007168,0.056320,455.11,0.000e+00,5,50
K0_naive,0,128,0.073568,0.070656,0.075680,57.01,4.171e-07,5,50
K1_coalesced,1,128,0.013312,0.012288,0.041056,315.08,4.171e-07,5,50
cublas,-1,256,0.018432,0.016384,0.032768,1820.44,0.000e+00,5,50
K0_naive,0,256,0.539648,0.538624,0.543744,62.18,5.494e-07,5,50
K1_coalesced,1,256,0.073728,0.072704,0.075776,455.11,5.494e-07,5,50
cublas,-1,512,0.069632,0.065536,0.083968,3855.06,0.000e+00,5,50
K0_naive,0,512,3.469312,3.468032,3.477504,77.37,8.935e-07,5,50
K1_coalesced,1,512,0.347136,0.345856,0.350176,773.29,8.935e-07,5,50
cublas,-1,1024,0.286720,0.282624,0.335872,7489.83,0.000e+00,5,50
K0_naive,0,1024,20.970495,20.964352,20.992064,102.41,1.382e-06,5,50
K1_coalesced,1,1024,2.726912,2.714624,2.749472,787.51,1.382e-06,5,50
cublas,-1,2048,2.160640,2.065408,2.177024,7951.29,0.000e+00,5,50
K0_naive,0,2048,165.628929,165.581726,165.697311,103.73,0.000e+00,5,50
K1_coalesced,1,2048,21.628416,21.584896,21.705631,794.32,0.000e+00,5,50
cublas,-1,4096,17.417216,16.629761,18.812927,7890.98,0.000e+00,5,50
K0_naive,0,4096,1328.055664,1327.804443,1328.465942,103.49,0.000e+00,5,50
K1_coalesced,1,4096,268.699448,268.649231,268.742645,511.50,0.000e+00,5,50
